"male","race_white","race_black","race_american_indian","race_asian_pacificislander","race_other","hispanic","grade","fam_income","fam_logincome","ever_smoked","ever_alcohol","ever_marijuana","ever_cocaine","delinquency_agg"
1,1,0,0,0,0,0,11,20000,9.90353755128617,1,0,0,0,6
0,1,0,0,0,0,0,12,50000,10.8197982842103,0,0,0,0,1
1,1,0,0,0,0,0,11,NA,NA,1,1,0,0,2
0,0,1,0,0,0,0,10,28000,10.2399955028053,1,0,0,0,3
0,0,0,0,0,1,1,9,56000,10.9331248267007,1,1,0,0,4
0,0,0,0,0,1,1,12,17000,9.74102744483773,0,0,0,0,1
0,1,0,0,0,0,0,11,60000,11.002116507732,1,1,0,0,3
0,1,0,0,0,0,0,12,43000,10.6689786502192,0,1,0,0,1
1,1,0,0,0,0,0,12,1e+05,11.5129354649202,1,1,1,0,3
0,1,0,0,0,0,0,10,NA,NA,1,1,1,0,6
0,1,0,0,0,0,0,12,NA,NA,1,1,0,0,0
1,0,1,0,0,0,0,10,33000,10.4042931430198,0,1,0,0,0
0,0,1,0,0,0,0,11,12000,9.39274525863144,0,0,NA,NA,0
0,1,0,0,0,0,0,10,55000,10.9151066458675,1,1,0,0,2
0,1,0,0,0,0,0,8,150000,11.9183972397228,1,1,1,0,0
1,1,1,0,0,0,0,9,35000,10.463131911492,1,1,1,0,1
1,0,1,0,0,0,1,10,20000,9.90353755128617,1,1,0,0,5
1,1,0,0,0,0,0,9,1e+05,11.5129354649202,1,1,0,0,3
0,0,0,0,0,1,1,10,10000,9.21044036697652,0,0,0,0,0
1,1,0,0,0,0,0,10,3e+05,12.6115410869661,0,1,0,0,4
0,0,1,0,0,0,0,8,23000,10.043292972227,0,0,0,0,2
1,0,0,0,0,1,0,12,NA,NA,1,1,1,0,1
1,1,0,0,0,0,0,10,1e+05,11.5129354649202,0,1,0,0,1
1,0,0,0,0,1,1,9,26000,10.1658902778025,0,1,0,0,3
0,1,0,0,0,0,0,11,NA,NA,0,0,0,0,5
1,1,0,0,0,0,0,10,50000,10.8197982842103,1,1,1,0,12
1,0,1,0,0,0,0,10,30000,10.3089859934221,0,1,0,0,1
1,0,1,0,0,0,0,12,NA,NA,1,1,0,0,3
0,1,0,0,0,0,0,10,50000,10.8197982842103,0,0,0,0,1
1,0,1,0,0,0,0,9,NA,NA,0,0,0,0,0
1,1,0,0,0,0,0,9,40000,10.5966597327836,0,0,0,0,1
1,1,0,0,0,0,0,11,NA,NA,1,1,0,0,1
0,1,0,0,0,0,0,11,7000,8.8538082749772,1,0,0,0,0
0,0,1,0,0,0,0,11,20000,9.90353755128617,1,1,0,0,2
1,0,1,0,0,0,0,12,NA,NA,1,1,0,0,4
1,1,0,0,0,0,0,10,NA,NA,1,1,1,0,7
0,1,0,0,0,0,0,9,7000,8.8538082749772,1,1,1,0,3
0,1,0,0,0,0,0,12,45000,10.7144399907278,0,0,0,0,0
1,1,0,0,0,0,0,10,50000,10.8197982842103,0,1,1,0,1
1,0,1,0,0,0,0,9,NA,NA,1,1,0,0,0
0,0,1,0,0,0,0,11,NA,NA,0,1,0,0,NA
1,1,0,0,0,0,0,12,40000,10.5966597327836,1,0,0,0,0
1,0,1,0,0,0,0,10,39000,10.5713425658087,0,1,0,0,2
0,1,0,0,0,0,0,10,30000,10.3089859934221,1,1,0,0,3
0,1,0,0,0,0,0,10,40000,10.5966597327836,1,1,1,1,1
0,1,0,0,0,0,0,9,NA,NA,0,0,0,0,0
1,1,0,0,0,0,0,12,70000,11.1562648066437,1,0,1,0,5
1,1,0,0,0,0,0,12,39000,10.5713425658087,1,1,0,0,2
0,1,0,0,0,0,0,11,30000,10.3089859934221,1,1,1,1,3
0,0,1,0,0,0,0,11,52000,10.8590182281479,1,1,0,0,4
1,1,0,0,0,0,0,10,55000,10.9151066458675,0,1,0,0,2
1,0,1,0,0,0,0,10,NA,NA,1,0,0,0,1
0,0,1,0,0,0,0,12,NA,NA,0,0,0,0,1
0,0,1,0,0,0,0,NA,27000,10.2036291813376,0,0,0,0,1
0,1,0,0,0,0,0,10,17000,9.74102744483773,1,1,0,0,4
1,1,0,0,0,0,0,12,0,0,0,0,0,0,0
0,1,0,0,0,0,0,9,50000,10.8197982842103,0,1,0,0,1
0,1,0,0,1,0,0,9,40000,10.5966597327836,1,1,1,0,3
0,1,0,0,0,0,0,11,35000,10.463131911492,1,1,1,1,7
0,0,1,0,0,0,0,8,NA,NA,1,1,1,0,4
0,0,1,0,0,0,0,12,35000,10.463131911492,0,0,0,0,1
1,1,0,0,0,0,1,8,NA,NA,NA,NA,NA,NA,NA
0,1,0,0,0,0,0,11,NA,NA,1,1,1,0,2
0,1,0,0,0,0,0,9,35000,10.463131911492,1,1,0,0,0
0,0,1,0,0,0,0,11,69000,11.141876276228,0,0,0,0,2
0,1,0,0,0,0,0,11,25000,10.1266711030504,1,1,0,0,0
1,0,1,0,0,0,0,9,18000,9.7981825908907,0,0,0,0,0
0,0,1,0,0,0,0,12,NA,NA,0,0,0,0,0
0,0,1,0,0,0,0,10,24000,10.0858507751287,1,1,0,0,2
0,0,1,0,0,0,0,10,NA,NA,0,1,0,0,2
0,1,0,0,0,0,0,12,55000,10.9151066458675,0,0,0,0,0
1,0,1,0,0,0,0,12,NA,NA,1,1,0,0,1
1,0,1,0,0,0,0,12,16000,9.68040649926887,1,1,1,0,9
0,0,1,0,0,0,0,10,NA,NA,0,1,0,0,2
1,0,1,0,0,0,0,NA,21000,9.95232533461943,1,0,0,0,4
0,0,1,0,0,0,0,10,0,0,0,0,0,0,2
1,1,0,0,0,0,0,9,37000,10.5187002182882,1,1,0,0,5
1,1,0,0,0,0,0,7,13000,9.47278155656217,0,0,0,0,0
1,1,0,1,0,0,0,8,13000,9.47278155656217,0,1,0,0,11
1,0,1,0,0,0,0,8,11000,9.30574145673943,0,0,0,0,0
0,1,0,0,0,0,0,10,12000,9.39274525863144,0,0,0,0,0
0,1,0,0,0,0,0,9,54000,10.8967578438935,0,0,0,0,0
0,0,0,0,0,1,1,12,40000,10.5966597327836,0,0,0,0,3
0,0,0,0,0,1,1,10,1000,6.90875477931522,0,1,0,0,0
1,1,0,0,0,0,0,11,NA,NA,1,0,0,0,1
0,1,0,0,0,0,0,NA,7000,8.8538082749772,1,1,1,0,7
0,1,0,0,0,0,0,9,NA,NA,1,1,1,0,1
1,1,0,0,0,0,0,12,40000,10.5966597327836,1,1,1,1,3
1,1,0,0,0,0,0,11,65000,11.0821579333748,1,1,1,0,6
1,1,0,0,0,0,0,7,NA,NA,0,0,0,0,1
1,1,0,0,0,0,0,NA,16000,9.68040649926887,1,1,1,0,6
